Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
27/03/23-02/04/23,6,5:13'00 ,"73,84 km","14,2 km/h",04'14 /km,148 bpm,172 m,730 TSS,4 051 kcal,"64,4 "
20/03/23-26/03/23,5,4:24'00 ,"59,07 km","13,4 km/h",04'28 /km,138 bpm,33 m,552 TSS,3 114 kcal,"63,9 "
13/03/23-19/03/23,6,5:21'51 ,"70,14 km","13,1 km/h",04'35 /km,138 bpm,437 m,655 TSS,3 757 kcal,"62,5 "
06/03/23-12/03/23,6,7:25'19 ,"93,84 km","12,6 km/h",04'44 /km,139 bpm,1 802 m,887 TSS,5 065 kcal,"61,7 "
27/02/23-05/03/23,7,6:01'39 ,"81,58 km","13,5 km/h",04'25 /km,142 bpm,402 m,782 TSS,4 459 kcal,"63,0 "
20/02/23-26/02/23,6,5:38'57 ,"74,47 km","13,2 km/h",04'33 /km,139 bpm,434 m,689 TSS,3 895 kcal,"63,3 "
13/02/23-19/02/23,7,7:42'34 ,"82,04 km","10,6 km/h",05'38 /km,133 bpm,1 306 m,766 TSS,5 142 kcal,"63,4 "
06/02/23-12/02/23,8,6:24'00 ,"83,48 km","13,0 km/h",04'35 /km,137 bpm,477 m,784 TSS,4 406 kcal,"62,7 "
30/01/23-05/02/23,7,5:33'50 ,"71,23 km","13,2 km/h",04'33 /km,139 bpm,874 m,713 TSS,3 983 kcal,"61,8 "
23/01/23-29/01/23,6,6:06'45 ,"80,56 km","13,2 km/h",04'33 /km,141 bpm,105 m,744 TSS,4 383 kcal,"61,1 "
16/01/23-22/01/23,6,4:40'25 ,"57,00 km","12,2 km/h",04'55 /km,140 bpm,808 m,508 TSS,3 305 kcal,"60,3 "
09/01/23-15/01/23,6,5:40'19 ,"75,71 km","13,3 km/h",04'29 /km,142 bpm,124 m,706 TSS,4 101 kcal,"61,5 "
02/01/23-08/01/23,8,6:35'40 ,"75,61 km","11,5 km/h",05'13 /km,130 bpm,342 m,642 TSS,4 282 kcal,"59,9 "
26/12/22-01/01/23,8,8:08'41 ,"83,44 km","10,2 km/h",05'51 /km,140 bpm,1 301 m,738 TSS,5 876 kcal,"57,1 "
19/12/22-25/12/22,5,4:31'10 ,"58,26 km","12,9 km/h",04'39 /km,148 bpm,52 m,526 TSS,3 520 kcal,"57,7 "
12/12/22-18/12/22,5,4:41'51 ,"57,95 km","12,3 km/h",04'51 /km,140 bpm,118 m,490 TSS,3 338 kcal,"57,5 "
05/12/22-11/12/22,5,3:56'26 ,"45,88 km","11,6 km/h",05'09 /km,139 bpm,190 m,372 TSS,2 571 kcal,"55,3 "
28/11/22-04/12/22,1,1:22'32 ,"10,50 km","7,6 km/h",07'51 /km,116 bpm,316 m,61 TSS,601 kcal,-
21/11/22-27/11/22,4,2:32'31 ,"24,50 km","9,6 km/h",06'13 /km,133 bpm,465 m,214 TSS,1 502 kcal,"55,1 "
14/11/22-20/11/22,4,7:30'44 ,"89,38 km","11,9 km/h",05'02 /km,140 bpm,496 m,754 TSS,4 853 kcal,"53,2 "
07/11/22-13/11/22,6,5:46'00 ,"68,87 km","11,9 km/h",05'01 /km,142 bpm,824 m,428 TSS,4 384 kcal,"54,7 "
31/10/22-06/11/22,6,6:48'17 ,"83,12 km","12,2 km/h",04'54 /km,143 bpm,1 166 m,460 TSS,5 021 kcal,"56,8 "
24/10/22-30/10/22,5,6:26'46 ,"75,37 km","11,7 km/h",05'07 /km,135 bpm,974 m,366 TSS,4 273 kcal,"56,7 "
17/10/22-23/10/22,5,5:11'06 ,"59,08 km","11,4 km/h",05'15 /km,137 bpm,1 297 m,308 TSS,3 655 kcal,"54,1 "
10/10/22-16/10/22,3,2:44'05 ,"25,80 km","9,4 km/h",06'21 /km,134 bpm,549 m,150 TSS,1 888 kcal,"52,3 "
03/10/22-09/10/22,0,-,-,-,-,-,-,-,-,-
26/09/22-02/10/22,1,28'56.3 ,"5,11 km","10,6 km/h",05'39 /km,-,24 m,31 TSS,398 kcal,"54,8 "
19/09/22-25/09/22,3,24:45'10 ,"144,5 km","5,8 km/h",10'16 /km,139 bpm,7 947 m,643 TSS,14 127 kcal,"55,0 "
12/09/22-18/09/22,5,12:18'30 ,"77,27 km","6,3 km/h",09'33 /km,121 bpm,3 551 m,541 TSS,6 221 kcal,"54,3 "
05/09/22-11/09/22,7,8:13'13 ,"90,08 km","11,0 km/h",05'28 /km,132 bpm,2 416 m,438 TSS,5 056 kcal,"57,0 "
29/08/22-04/09/22,5,8:17'24 ,"91,36 km","11,0 km/h",05'26 /km,134 bpm,2 717 m,451 TSS,5 081 kcal,"58,4 "
22/08/22-28/08/22,4,6:54'13 ,"68,60 km","9,9 km/h",06'02 /km,130 bpm,2 206 m,437 TSS,4 694 kcal,"58,4 "
15/08/22-21/08/22,4,5:20'23 ,"63,33 km","11,9 km/h",05'03 /km,139 bpm,1 480 m,329 TSS,3 721 kcal,"60,0 "
08/08/22-14/08/22,3,4:38'36 ,"66,62 km","14,3 km/h",04'10 /km,154 bpm,241 m,416 TSS,3 857 kcal,"60,8 "
01/08/22-07/08/22,6,6:57'08 ,"88,05 km","12,7 km/h",04'44 /km,137 bpm,995 m,431 TSS,4 826 kcal,"59,1 "
25/07/22-31/07/22,6,5:27'01 ,"62,80 km","11,5 km/h",05'12 /km,140 bpm,1 280 m,357 TSS,4 035 kcal,"57,2 "
18/07/22-24/07/22,7,10:01'06 ,"84,78 km","8,5 km/h",07'05 /km,122 bpm,1 786 m,596 TSS,5 674 kcal,"58,8 "
11/07/22-17/07/22,5,5:25'13 ,"65,91 km","12,2 km/h",04'56 /km,138 bpm,797 m,331 TSS,3 755 kcal,"57,8 "
04/07/22-10/07/22,5,5:01'51 ,"60,03 km","11,9 km/h",05'01 /km,139 bpm,1 133 m,321 TSS,3 548 kcal,"54,4 "
27/06/22-03/07/22,3,2:40'15 ,"23,66 km","8,9 km/h",06'46 /km,108 bpm,327 m,126 TSS,1 437 kcal,"50,7 "
20/06/22-26/06/22,3,24:51'06 ,"182,2 km","7,3 km/h",08'10 /km,132 bpm,5 678 m,986 TSS,13 081 kcal,"51,1 "
13/06/22-19/06/22,4,3:55'34 ,"47,71 km","12,2 km/h",04'56 /km,132 bpm,428 m,218 TSS,2 548 kcal,"59,5 "
06/06/22-12/06/22,6,6:16'30 ,"75,75 km","12,1 km/h",04'58 /km,138 bpm,870 m,407 TSS,4 500 kcal,"58,9 "
30/05/22-05/06/22,6,5:07'40 ,"61,73 km","12,0 km/h",04'59 /km,138 bpm,677 m,311 TSS,3 521 kcal,"58,5 "
23/05/22-29/05/22,2,49'31.9 ,"8,74 km","10,6 km/h",05'40 /km,130 bpm,31 m,44 TSS,592 kcal,"60,0 "
16/05/22-22/05/22,7,8:03'12 ,"101,1 km","12,6 km/h",04'46 /km,140 bpm,1 888 m,521 TSS,5 507 kcal,"60,4 "
09/05/22-15/05/22,7,9:52'53 ,"161,5 km","16,3 km/h",04'54 /km,134 bpm,2 172 m,567 TSS,6 250 kcal,"60,0 "
02/05/22-08/05/22,6,8:59'01 ,"96,76 km","10,8 km/h",05'34 /km,144 bpm,3 096 m,626 TSS,6 287 kcal,"60,7 "
25/04/22-01/05/22,6,6:15'51 ,"80,89 km","12,9 km/h",04'38 /km,136 bpm,818 m,384 TSS,4 237 kcal,"61,0 "
18/04/22-24/04/22,6,8:36'49 ,"103,3 km","12,0 km/h",05'00 /km,137 bpm,2 455 m,536 TSS,5 751 kcal,"58,8 "
11/04/22-17/04/22,6,6:30'12 ,"72,83 km","11,2 km/h",05'21 /km,127 bpm,1 292 m,309 TSS,3 795 kcal,"58,0 "
04/04/22-10/04/22,5,4:28'12 ,"52,17 km","11,7 km/h",05'08 /km,131 bpm,958 m,227 TSS,2 799 kcal,"59,8 "
